_id,English,Bemba,Bemba Other Translation,Bemba Translator ,Bemba Translation Approval Date,Bemba Translation Reviewers
0,Hello,,,,,
1,Hi,,,,,
2,Hey,,,,,
3,Hello there,,,,,
4,Howdy,,,,,
5,Greetings,,,,,
6,Good day,,,,,
7,Salutations,,,,,
8,Hey there,,,,,
9,What's up,,,,,
10,How's it going,,,,,
11,How are you doing,,,,,
12,Yo,,,,,
13,Hiya,,,,,
14,What's happening,,,,,
15,Good morning,,,,,
16,Good afternoon,,,,,
17,Good evening,,,,,
18,How's everything,,,,,
19,Nice to see you,,,,,
20,How do you do,,,,,
21,How are you?,,,,,
22,I love you,,,,,
23,Goodbye,,,,,
24,Thank you,,,,,
25,Where is the nearest restaurant?,,,,,
26,What time is it?,,,,,
27,I'm hungry,,,,,
28,Can you help me?,,,,,
29,I don't understand,,,,,
30,Where is the bathroom?,,,,,
31,"Can I have the bill, please?",,,,,
32,I need a taxi,,,,,
33,Excuse me,,,,,
34,I'm lost,,,,,
35,How much does it cost?,,,,,
36,I want to go to the beach,,,,,
37,Do you speak English?,,,,,
38,What is the weather like today?,,,,,
39,Can you recommend a good restaurant?,,,,,
40,I need help,,,,,
41,What is your favorite book?,,,,,
42,I'm excited,,,,,
43,"Can you repeat that, please?",,,,,
44,I'm tired,,,,,
45,What's your favorite food?,,,,,
46,"I'm sorry, I don't know",,,,,
47,What's your name?,,,,,
48,"Can I have the check, please?",,,,,
49,Where can I find a taxi?,,,,,
50,I don't speak Spanish,,,,,
51,Do you understand?,,,,,
52,Are there any vegetarian restaurants nearby?,,,,,
53,Can you help me book a hotel room?,,,,,
54,What's the best time to visit this city?,,,,,
55,Do you have any recommendations for local attractions?,,,,,
56,Is there a pharmacy around here?,,,,,
57,How far is the nearest beach?,,,,,
58,Can you suggest a scenic hiking trail?,,,,,
59,What's the local currency?,,,,,
60,Is there a shopping mall in the vicinity?,,,,,
61,I'd like to visit a famous historical site.,,,,,
62,Where can I find public transportation?,,,,,
63,Are there any guided city tours available?,,,,,
64,What's the average temperature in this season?,,,,,
65,Can you assist me with renting a car?,,,,,
66,Is there a local market for fresh produce?,,,,,
67,I'm interested in trying traditional cuisine.,,,,,
68,Where can I find a good place for live music?,,,,,
69,What's the best way to explore the city on foot?,,,,,
70,Can you recommend any local festivals or events?,,,,,
71,I'd like to visit a renowned art gallery.,,,,,
72,How do I get to the train station?,,,,,
73,Is there a nearby ATM?,,,,,
74,Can you help me find my hotel?,,,,,
75,I'm looking for a good restaurant for dinner.,,,,,
76,What's the Wi-Fi password?,,,,,
77,Is this seat taken?,,,,,
78,Can you recommend any local museums?,,,,,
79,"Excuse me, where can I find the nearest post office?",,,,,
80,Do you have any vegetarian options on the menu?,,,,,
81,What's the best way to explore the city by bike?,,,,,
82,I'm interested in taking a city tour.,,,,,
83,Can you suggest any popular local landmarks?,,,,,
84,Where can I buy souvenirs?,,,,,
85,What's the weather forecast for tomorrow?,,,,,
86,Is there a swimming pool in the hotel?,,,,,
87,Can you help me with directions to the nearest park?,,,,,
88,What's the best time to visit this attraction?,,,,,
89,Do you have any maps or tourist guides?,,,,,
90,Is there a hospital nearby?,,,,,
91,"I'd like to book a table for two, please.",,,,,
92,Can you recommend a good place for live entertainment?,,,,,
93,Are there any local customs or traditions I should be aware of?,,,,,
94,What's the best way to get around the city?,,,,,
95,I'd like to try a local specialty dish.,,,,,
96,Can you tell me more about the history of this place?,,,,,
97,Is there a nearby pharmacy open late?,,,,,
98,Do you have any suggestions for family-friendly activities?,,,,,
99,What's the nearest bus stop?,,,,,
100,Can you help me with my luggage?,,,,,
101,Is there a gym or fitness center in the hotel?,,,,,
102,What's the best way to reach the airport?,,,,,
103,I'd like to visit a famous cathedral or church.,,,,,
104,Can you recommend a scenic hiking trail?,,,,,
105,Are there any local festivals happening during my stay?,,,,,
106,What's the best mode of transportation for day trips?,,,,,
107,Can you suggest any good shopping areas?,,,,,
108,I'm interested in trying traditional street food.,,,,,
109,Are there any guided tours of historical sites?,,,,,
110,Is there a local market for fresh produce and souvenirs?,,,,,
111,What's the local currency exchange rate?,,,,,
112,Can you recommend a good place for nightlife?,,,,,
113,Are there any art galleries or exhibitions in town?,,,,,
114,What's the best spot for sunset views?,,,,,
115,I'd like to explore the local nature reserves.,,,,,
116,Can you suggest any off-the-beaten-path attractions?,,,,,
117,Are there any famous local street performers?,,,,,
118,What's the best way to experience the local culture?,,,,,
119,I'm interested in visiting a renowned botanical garden.,,,,,
120,Can you recommend a good place for afternoon tea?,,,,,
121,Are there any nearby wineries or vineyards to visit?,,,,,
122,What's the best way to get to the city center?,,,,,
123,I'd like to try some traditional desserts.,,,,,
124,Can you recommend a scenic beach for swimming?,,,,,
125,Is there a famous historical monument nearby?,,,,,
126,What's the best way to explore the local wildlife?,,,,,
127,Are there any hiking trails with breathtaking views?,,,,,
128,Can you suggest a good spot for bird watching?,,,,,
129,Is there a local theater for live performances?,,,,,
130,What's the best place to experience the local music scene?,,,,,
131,I'm interested in visiting an art museum. Any recommendations?,,,,,
132,Can you suggest a good place for outdoor activities?,,,,,
133,Are there any famous waterfalls in the area?,,,,,
134,What's the best way to experience the local cuisine?,,,,,
135,Is there a nearby adventure park or amusement park?,,,,,
136,Can you recommend a good place for fishing?,,,,,
137,What's the best way to explore the local architecture?,,,,,
